 minimum eigenvalues =   1.358243135721741E-005   2.11065408151136     
   3.06178652542353     
 maximum eigenvalues =    2479.41058422081        633.932803650868     
   208.683575636238     
 num eigs kept =           64
 iter   104 lrate =  1.0000000000 LL =  -2.5828538239 nd =  0.0011183801, D =   0.10042E+00  0.10042E+00  (  0.70 s,   0.4 h)
 iter   105 lrate =  1.0000000000 LL =  -2.5828346626 nd =  0.0011272758, D =   0.10042E+00  0.10042E+00  (  0.70 s,   0.4 h)
 iter   106 lrate =  1.0000000000 LL =  -2.5828159121 nd =  0.0011353603, D =   0.10042E+00  0.10042E+00  (  0.73 s,   0.4 h)
 iter   107 lrate =  1.0000000000 LL =  -2.5827340690 nd =  0.0011080611, D =   0.10104E+00  0.10104E+00  (  0.71 s,   0.4 h)
 iter   108 lrate =  1.0000000000 LL =  -2.5826549558 nd =  0.0010856750, D =   0.10128E+00  0.10128E+00  (  0.79 s,   0.4 h)
 iter   109 lrate =  1.0000000000 LL =  -2.5825784220 nd =  0.0010664199, D =   0.10148E+00  0.10148E+00  (  0.81 s,   0.4 h)
 iter   110 lrate =  1.0000000000 LL =  -2.5825040912 nd =  0.0010507243, D =   0.10165E+00  0.10165E+00  (  0.79 s,   0.4 h)
 iter   111 lrate =  1.0000000000 LL =  -2.5824316911 nd =  0.0010322444, D =   0.10182E+00  0.10182E+00  (  1.21 s,   0.6 h)
 iter   112 lrate =  1.0000000000 LL =  -2.5823612551 nd =  0.0010134884, D =   0.10200E+00  0.10200E+00  (  0.71 s,   0.4 h)
 iter   113 lrate =  1.0000000000 LL =  -2.5822927237 nd =  0.0009969643, D =   0.10216E+00  0.10216E+00  (  0.70 s,   0.4 h)
 iter   114 lrate =  1.0000000000 LL =  -2.5822257177 nd =  0.0009836126, D =   0.10234E+00  0.10234E+00  (  0.73 s,   0.4 h)
 iter   115 lrate =  1.0000000000 LL =  -2.5821607735 nd =  0.0009681824, D =   0.10251E+00  0.10251E+00  (  0.71 s,   0.4 h)
